#SampleID	Healthy	None	Tumor
C0332.N.518027	0.748	0.006	0.246
C0332.T.518017	0.3	0.022	0.678
C0333.N.518126	0.726	0.012	0.262
C0333.T.518046	0.398	0.014	0.588
C0334.N.518066	0.68	0.002	0.318
C0334.T.518147	0.512	0.012	0.476
C0335.N.518107	0.814	0	0.186
C0335.T.518115	0.362	0.014	0.624
C0341.N.518101	0.882	0.006	0.112
C0341.T.518113	0.248	0.008	0.744
C0342.N.518068	0.794	0.01	0.196
C0342.T.518093	0.314	0.006	0.68
C0344.N.518103	0.756	0.016	0.228
C0344.T.518029	0.428	0.012	0.56
C0349.N.517989	0.858	0.004	0.138
C0349.T.518111	0.236	0.07	0.694
C0355.N.518077	0.746	0.016	0.238
C0355.T.518157	0.25	0.042	0.708
C0362.N.518069	0.722	0.01	0.268
C0362.T.518026	0.158	0.026	0.816
C0366.N.518094	0.798	0.008	0.194
C0366.T.518172	0.476	0.03	0.494
C0371.N.518009	0.728	0.026	0.246
C0371.T.518139	0.336	0.042	0.622
C0374.N.518099	0.846	0.006	0.148
C0374.T.518127	0.306	0.02	0.674
C0378.N.518158	0.802	0.004	0.194
C0378.T.518104	0.254	0.056	0.69
C0388.N.518136	0.732	0.008	0.26
C0388.T.518015	0.43	0.024	0.546
C0394.N.518031	0.826	0.004	0.17
C0394.T.518064	0.246	0.004	0.75
C0395.N.518054	0.724	0.002	0.274
C0395.T.518075	0.226	0.024	0.75
C0398.N.518152	0.714	0.012	0.274
C0398.T.518092	0.312	0.018	0.67
C0399.N.518011	0.768	0.004	0.228
C0399.T.518153	0.402	0.022	0.576
C1.S.518137	0.574	0.01	0.416
C1.T.518120	0.284	0.008	0.708
C10.S.517995	0.816	0.01	0.174
C10.T.518056	0.224	0.01	0.766
C3.S.517996	0.27	0.002	0.728
C3.T.517994	0.558	0.002	0.44
C4.S.518169	0.864	0.006	0.13
C4.T.518118	0.426	0.028	0.546
C6.S.518082	0.634	0.014	0.352
C6.T.518061	0.214	0.024	0.762
G2OD5ABL.518057	0.418	0.024	0.558
G2OD5N55.518146	0.738	0.004	0.258
G3UBQAJU.518060	0.194	0.042	0.764
G3UBQNDP.518121	0.644	0.014	0.342
GQ6LSABJ.518010	0.546	0.03	0.424
GQ6LSNI6.518106	0.78	0.012	0.208
HZIMMAM6.518095	0.412	0.076	0.512
HZIMMNL5.518062	0.756	0.004	0.24
I7ROLN9P.518079	0.67	0.006	0.324
JIDZEAPD.518149	0.474	0.012	0.514
JIDZEN4J.518073	0.74	0.008	0.252
KIXFRARY.518160	0.476	0.008	0.516
KIXFRNL2.518129	0.468	0.042	0.49
LRQ9WAHA.518036	0.422	0.014	0.564
LRQ9WN6C.518048	0.732	0.004	0.264
MQE9OAS7.518008	0.26	0.038	0.702
MQE9ONGV.518038	0.678	0	0.322
MQETMAZC.518171	0.36	0.006	0.634
MQETMNL4.518037	0.646	0.016	0.338
O436FAO8.518097	0.184	0.064	0.752
O436FNP3.518007	0.224	0.006	0.77
OTGGZAZO.518108	0.264	0.172	0.564
OTGGZN5Y.518063	0.704	0.034	0.262
QFHRSAG2.518005	0.432	0.016	0.552
QFHRSNIH.518116	0.664	0.002	0.334
R8J9ZAGC.518059	0.346	0.086	0.568
R8J9ZNOW.518040	0.542	0.016	0.442
TV28IANZ.518070	0.406	0.018	0.576
TV28INUO.518004	0.482	0.006	0.512
UEL2GAPI.518173	0.57	0.01	0.42
UEL2GN92.518058	0.774	0.006	0.22
UTWNWANU.518168	0.508	0.008	0.484
UTWNWN3P.518012	0.48	0.004	0.516
UZ65XAS5.518119	0.406	0.038	0.556
UZ65XN27.518028	0.776	0.012	0.212
XBS5MA8H.517990	0.59	0	0.41
XBS5MNEH.518074	0.262	0	0.738
XZ33PA3O.518135	0.41	0.012	0.578
XZ33PN7O.518030	0.532	0.018	0.45
YOTV6ASH.518142	0.28	0.008	0.712
YOTV6NC8.518156	0.578	0.028	0.394
